country_code,country,year,population,gdp,internet,internet_users_estimate
IDN,印度尼西亚,2022,278830529,4730.83484836107,66.48461277,185379397.49019256
PHL,菲律宾,2022,113964338,3548.06930572116,75.21114422,85713882.61254826
VNM,越南,2022,99680655,4147.69777213621,78.58999918,78339025.94711864
